sp_f600xsp_f600,sp_f600xsp_f857,sp_f600xsp_f1200,sp_f857xsp_f857,sp_f857xsp_f1200,sp_f1200xsp_f1200
10557.58173853378,15666.36041120467,16790.30313315435,24325.945498178,27212.4156973416,31927.60342992586
10539.262267811631,15639.805984062219,16763.40269404544,24285.063534825196,27168.58676852931,31877.817630453632
10520.945612065529,15613.2575178443,16736.51183848321,24244.19422746201,27124.778233313802,31828.064766277967
10502.661655194759,15586.751505442562,16709.66933353645,24203.39194049195,27081.05980608874,31778.446583789708
10484.496649682422,15560.389328918747,16682.953429894194,24162.778917154,27037.531377071555,31729.053326403257
10466.525411401744,15534.242537176895,16656.390157533224,24122.407214478022,26994.175696333703,31679.78535553167
10448.631053046034,15508.218352256972,16629.953735146544,24082.23587141223,26951.031637170552,31630.744717846756
10430.852752134622,15482.37988562466,16603.709840233616,24042.368636227744,26908.209068466138,31582.0494495158
10413.176848717065,15456.71309928051,16577.64986252712,24002.789877182346,26865.695947027103,31533.686450012443
10395.508630556042,15431.044501075894,16551.577186603186,23963.187897101285,26823.143530504858,31485.26833150498
10377.87129457633,15405.427407322379,16525.559604196198,23923.671161203012,26780.682758450468,31436.949531310485
10360.38151000984,15380.034980004513,16499.775547811303,23884.511673762638,26738.60895158294,31389.067324044452
10343.064363744146,15354.827052414976,16474.12651508951,23845.566233072997,26696.71873762772,31341.382464610062
10325.784056428045,15329.666424302384,16448.520722915673,23806.686318825283,26654.892457699687,31293.763169041616
10308.412252607586,15304.385298733632,16422.809917599756,23767.649292803646,26612.93108065741,31246.02986446381
10290.932880246566,15278.948040226145,16396.9473453053,23728.38543622948,26570.749065755736,31198.081865762237
10273.519390793112,15253.627523681178,16371.216815739466,23689.32826703912,26528.80088315167,31150.398746825063
10256.152523623869,15228.383029075505,16345.569021152958,23650.40024414005,26486.99618125152,31102.876734251455
10238.897353775545,15203.266014548648,16320.019726681749,23611.62615533042,26445.32818687403,31055.510458767916
10221.718437438114,15178.236961805243,16294.533740025658,23572.955599455585,26403.738881307443,31008.21217181861
10204.548471945922,15153.22119029229,16269.063003045165,23534.30695316389,26362.176919559886,30960.9499757643
10187.504738539483,15128.341478562075,16243.692157916059,23495.816836252292,26320.746144652072,30913.81548179876
10170.481849910539,15103.493577828729,16218.35289575161,23457.37470991368,26279.3638174406,30866.73308073044
10153.47669397038,15078.67558266128,16193.050595172052,23418.984282651647,26238.047469467117,30819.738176562278
10136.605204505175,15054.041314938022,16167.927716632192,23380.86302288813,26197.017098792407,30773.078151552836
10119.925704043422,15029.723816004898,16143.162635826608,23343.281513679103,26156.614447775766,30727.168277925957
10103.274291169964,15005.45127884113,16118.44392384947,23305.773817135385,26116.289706686563,30681.342377858033
10086.650396717074,14981.212225874486,16093.76148466553,23268.31644529385,26076.031431047915,30635.61635029538
10070.064153472935,14957.021718157079,16069.132521420896,23230.934222446704,26035.870309408896,30590.03053659427
10053.648218642584,14933.012972682985,16044.629874063055,23193.752087722452,25995.857930891063,30544.57104839124
10037.261734265689,14909.036719241292,16020.150086704667,23156.606160025127,25955.871404212638,30499.13045669822
10020.99755843282,14885.25367266777,15995.869245309925,23119.77450539806,25916.21603208234,30454.045137463756
10004.833078594544,14861.629540077052,15971.753912115102,23083.204120481838,25876.837884900146,30409.257616138428
9988.708482816464,14838.08641928982,15947.735805603272,23046.787543480146,25837.63771147389,30364.671722738865
9972.556672182547,14814.508593035436,15923.688322397778,23010.32575067672,25798.398577115313,30320.051703230187
9956.483795366734,14791.057128753348,15899.77395176516,22974.069785484317,25759.379296367948,30275.669088762297
9940.533945960671,14767.78831703756,15876.048571026302,22938.103441545354,25720.679296575658,30231.66023698169
9924.679293966901,14744.599521489321,15852.363411865274,22902.207096915175,25682.024447154952,30187.70246788495
9908.87248015161,14721.485994649309,15828.759223370871,22866.431839112636,25643.501639417158,30143.88984556473
9893.020237056875,14698.318323935891,15805.1144298679,22830.5956379176,25604.937668419763,30100.055541531125
9877.1905726149,14675.186431367749,15781.507801530264,22794.816156215362,25566.434174337413,30056.285681093417
9861.377807594525,14652.08417942759,15757.9345051307,22759.088727897455,25527.989319386754,30012.582056818123
9845.567986461328,14628.976454722977,15734.351001996842,22723.344388510384,25489.523617153216,29968.855111267098
9829.79595264984,14605.890563006416,15710.76936729845,22687.597924425063,25451.04495192601,29925.131759495183
9814.07059513975,14582.858969098008,15687.227687569495,22651.916329986037,25412.617443402763,29881.45536006037
9798.364404009422,14559.862331918703,15663.733098451561,22616.300910845413,25374.280427579026,29837.903447780278
9782.815587250589,14537.049205373536,15640.387518513762,22580.92045671906,25336.155930614557,29794.567142631924
9767.38009359489,14514.417906913113,15617.233151012613,22545.836223227285,25298.34784421705,29751.575834062976
9751.998806723415,14491.878070680536,15594.188314291208,22510.909186952646,25260.732479806593,29708.82821086722
9736.650895849125,14469.384819287265,15571.190815875292,22476.052217497294,25223.19581914072,29666.179749731346
9721.40366320827,14447.066261518494,15548.40511487045,22441.50610648076,25186.043876161046,29624.015645620668
9706.170087687964,14424.774622496518,15525.655650115797,22407.011958260133,25148.96072197896,29581.941217217805
9690.949762091632,14402.499442837807,15502.924416007227,22372.54302922581,25111.9113305742,29539.91778455725
9675.785122779083,14380.282066063217,15480.242217012954,22338.14552691199,25074.93869382269,29497.9965487367
9660.678654970077,14358.128446375718,15457.610799806167,22303.82554061382,25038.040161196146,29456.164230982155
9645.593741760928,14335.990698606798,15434.983584418704,22269.514758100693,25001.140863800694,29414.326790139516
9630.53673100982,14313.89746281194,15412.402455600335,22235.276743474125,24964.31849572346,29372.572103016246
9615.538590213633,14291.88551020053,15389.899197314,22201.161770411527,24927.621309816193,29330.949641335348
9600.649629389945,14270.054727362114,15367.588534590479,22167.351308746656,24891.25054884393,29289.679494945827
9585.688756435216,14248.146331934257,15345.225985872054,22133.465178288163,24854.838296993836,29248.398240138064
9570.729954568002,14226.239396275252,15322.864271216982,22099.58024463635,24818.42694543542,29207.11792200141
9555.891730198671,14204.525247741018,15300.70585752848,22066.009408122918,24782.351715149573,29166.201515104163
9541.106893394843,14182.864897524862,15278.588471363197,22032.50470983433,24746.346178181237,29125.382514970297
9526.3652218396,14161.235640255434,15256.479880515402,21999.018000701042,24710.339997813535,29084.55442166608
9511.71001274678,14139.745008181566,15234.521197025064,21965.755017020936,24674.576899176696,29043.99134513548
9497.12430291957,14118.35986044392,15212.670041723257,21932.65235103041,24638.97739070734,29003.595359171122
9482.630494385501,14097.111219140972,15190.955080009378,21899.75290747075,24603.581054352333,28963.402907173513
9468.115119176702,14075.824760821899,15169.197681674013,21866.78710268917,24568.11017711307,28923.12663266933
9453.608065551938,14054.530389759839,15147.421425702894,21833.79086737945,24532.59914318465,28882.804488202055
9439.130872800108,14033.265682477046,15125.671102792472,21800.829236723584,24497.13219310221,28842.559518329464
9424.662069369166,14012.010528479292,15103.927358166071,21767.87854016925,24461.67288793531,28802.320107919622
9410.237588206475,13990.830713533132,15082.280972995733,21735.065279336985,24426.397728267264,28762.33185272767
9395.966541828384,13969.840267735304,15060.79733725524,21702.5087697641,24391.36453813132,28722.592782769192
9381.863253604206,13949.130213886054,15039.622558628631,21670.426006999507,24356.858623741206,28683.4484046956
9367.834235992234,13928.547243653378,15018.599561805884,21638.563952359553,24322.621100945154,28644.638415372137
9353.789551049911,13907.95042045633,14997.574428256059,21606.694922217626,24288.395388155237,28605.863915028414
9339.75915142726,13887.399089619492,14976.628007699539,21574.933795570243,24254.334642787366,28567.32420729789
9325.712398227968,13866.82614651128,14955.666974812633,21543.14421871183,24220.256523581167,28528.77993554216
9311.670570688153,13846.260932232814,14934.71645042822,21511.368785582967,24186.1995941114,28490.269063095395
9297.689407819269,13825.755703883347,14913.812992491312,21479.662734849146,24152.212166857767,28451.847391855736
9283.732017252889,13805.282675602504,14892.945996234514,21448.008310557394,24118.29309023283,28413.52655084881
9269.734367645495,13784.753149183554,14872.028724429321,21416.278116976224,24084.30907783164,28375.151948697327
9255.735358965454,13764.221477922552,14851.109289388158,21384.544464861152,24050.32152895608,28336.773731688256
9241.740004254958,13743.684757687284,14830.179295379607,21352.79413964405,24016.312336575094,28298.37046583758
9227.781717865579,13723.198800557866,14809.297768429951,21321.12062251273,23982.381103388212,28260.049267618742
9213.869967141567,13702.811983513082,14788.53598233308,21289.64214059505,23948.677918001133,28221.991922692658
9199.935541929664,13682.39433514332,14767.748159118077,21258.123829843647,23914.94188025401,28183.907880041465
9186.036370042879,13662.031177041079,14747.016977266634,21226.693021851963,23881.298853789936,28145.924137027265
9172.177119587588,13641.729963656782,14726.352306753903,21195.363159694687,23847.769334654073,28108.073971862235
9158.380537726485,13621.485867791678,14705.721713424216,21164.08824534737,23814.278064208655,28070.259605869447
9144.631846412416,13601.31264918973,14685.163577993197,21132.92191226078,23780.90057518954,28032.566541085173
9130.984240560101,13581.285334382075,14664.747653119095,21101.968042201144,23747.732078391462,27995.081013491574
9117.57058804377,13561.604690411681,14644.676703547055,21071.529009063637,23715.076902103137,27958.108227487523
9104.182638682883,13541.961592416814,14624.642474199256,21041.144968667835,23682.47566156305,27921.18852460792
9090.7986825748,13522.32341581765,14604.612726955875,21010.76793754455,23649.881534993274,27884.276568116307
9077.4797513271,13502.764761390177,14584.655885259555,20980.50429840697,23617.406013941036,27847.503054399218
9064.1430538022,13483.19438270017,14564.70554882463,20950.244463102623,23584.96349816076,27810.799590961942
9050.813022102675,13463.63688987799,14544.772967487006,20920.009554225293,23552.55534992445,27774.14354752557
9037.533429581525,13444.148690607888,14524.917515386056,20889.88528912073,23520.284108073556,27737.66789971647
9024.356209194531,13424.796812828341,14505.188039630888,20859.959195319076,23488.210206947027,27701.40315467638
9011.34042102739,13405.72068027324,14485.773364194061,20830.5095749971,23456.685108818834,27665.776654363843
8998.359659727319,13386.704213632884,14466.430267801137,20801.16330831677,23425.286599324023,27630.30953642656
8985.33485560014,13367.647569110717,14447.07609674204,20771.791974293774,23393.906040658854,27594.908060138536
8972.297366081082,13348.592385116312,14427.749622569634,20742.453551665654,23362.600385569604,27559.630127147277
8959.248702068982,13329.520216867111,14408.407173282645,20713.088649531877,23331.26934643519,27524.32776069626
8946.20545151363,13310.456474871373,14389.076120287227,20683.73909340325,23299.961245352093,27489.061526810598
8933.21042294758,13291.441873138423,14369.78580906145,20654.448969244335,23268.716033195244,27453.878804284395
8920.22645025026,13272.44800291783,14350.526305227071,20625.20057413185,23237.53493106166,27418.796113348755
8907.182521077364,13253.379638743309,14331.207198978052,20595.860419819768,23206.281082485337,27383.656362713737
8894.13745200988,13234.3094779187,14311.88628658657,20566.517373345847,23175.024289323213,27348.513623426516
8881.05518280332,13215.171891548434,14292.491677759517,20537.05789388989,23143.641601392577,27313.23444715976
8867.978592063488,13196.029691259739,14273.08542310939,20507.580055825594,23112.23424076266,27277.926449177576
8855.00207770028,13177.052195489494,14253.850915088904,20478.376894234745,23081.1176831219,27242.93154252146
8842.031991802189,13158.082387629018,14234.62463527577,20449.187160859958,23050.017280499687,27207.95640147855
8829.063273459067,13139.111100421547,14215.395372567658,20419.992660758297,23018.91093755817,27172.974589308746
8816.091404766605,13120.137877847052,14196.169057756157,20390.799963221296,22987.815350278346,27138.016042411306
8803.19272102759,13101.264142277074,14177.041191029777,20361.749935448843,22956.869373844846,27103.224860650073
8790.318428877898,13082.417151652466,14157.933884844144,20332.731640377904,22925.950136682535,27068.458363196856
8777.552570526736,13063.724841650215,14138.975384376863,20303.935694732732,22895.246564650304,27033.9028883536
8764.963379386716,13045.287286551771,14120.263597880323,20275.508177486925,22864.900809889685,26999.695931189315
8752.506769878297,13027.044293379411,14101.743324392872,20247.366666014004,22834.83702758377,26965.767420716074
8740.10272383626,13008.893483293068,14083.326622226225,20219.386989329847,22804.955335228085,26932.044210167172
8727.754720786852,12990.820807434562,14064.984786730649,20191.526636305163,22775.195385319625,26898.450493209275
8715.454312869393,12972.838282937168,14046.756184066104,20163.838845433136,22745.652341959627,26865.13382855936
8703.12367569762,12954.822819601219,14028.507726055537,20136.116483135465,22716.091206520538,26831.813709451082
8690.80345704031,12936.826869453174,14010.28583325652,20108.43143474327,22686.581294545107,26798.564154433043
8678.517249645165,12918.866215438984,13992.094392051815,20080.79109384318,22657.119014498276,26765.37443930337
8666.279112635277,12900.980312529005,13973.983883834688,20053.274802220032,22627.796753358383,26732.348724020747
8654.124426626271,12883.23855979717,13956.042486233728,20026.01064158036,22598.773251591218,26699.68115007747
8641.974877871518,12865.506429937195,13938.114332498128,19998.764798849166,22569.775401127947,26667.050181997925
8629.789542248654,12847.75735758451,13920.213038302809,19971.546782152123,22540.87399921383,26634.59537082749
8617.638329397063,12830.07087935201,13902.387763675255,19944.44327086914,22512.111932615688,26602.311322862297
8605.495760613456,12812.398206743825,13884.57668563088,19917.362381820476,22483.373690076918,26570.052923201263
8593.361755471908,12794.73736759976,13866.780169577258,19890.30133851702,22454.663710486602,26537.838272620444
8581.256020810864,12777.108064672544,13849.013477976852,19863.282937994252,22426.00393537214,26505.693831851095
8569.147028009947,12759.483014402085,13831.262846006171,19836.284422324585,22397.384334066453,26473.617453596788
8557.011249855259,12741.82841334744,13813.491529344898,19809.25311225156,22368.74165260923,26441.524809998984
8544.87498268942,12724.17305210589,13795.719475485981,19782.220600834546,22340.097805698766,26409.431078820337
8532.722159309118,12706.485282139078,13777.910972936737,19755.13049572069,22311.390967506006,26377.268798514255
8520.582713221182,12688.808412810124,13760.108683464063,19728.0501955191,22282.690663892783,26345.111802563755
8508.539355434148,12671.276940224589,13742.44924096677,19701.195577507835,22254.21751976878,26313.188861856965
